GO:0106414	mRNA dihydrouridine synthase activity	56931
GO:0008425	2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity	84274
GO:0008426	protein kinase C inhibitor activity	3315
GO:0070280	pyridoxal binding	2731
GO:0016702	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	59344
GO:0016702	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	242
GO:0008422	beta-glucosidase activity	57733
GO:0008422	beta-glucosidase activity	3938
GO:0008422	beta-glucosidase activity	57704
GO:0035870	dITP diphosphatase activity	131870
GO:0141069	receptor ligand inhibitor activity	3958
GO:0141069	receptor ligand inhibitor activity	4052
GO:0141069	receptor ligand inhibitor activity	375387
GO:0141069	receptor ligand inhibitor activity	3485
GO:0141069	receptor ligand inhibitor activity	3326
GO:0070577	lysine-acetylated histone binding	4300
GO:0070577	lysine-acetylated histone binding	54454
GO:0070577	lysine-acetylated histone binding	65980
GO:0070577	lysine-acetylated histone binding	8019
GO:0070577	lysine-acetylated histone binding	23613
GO:0070577	lysine-acetylated histone binding	6872
GO:0070577	lysine-acetylated histone binding	11176
GO:0070577	lysine-acetylated histone binding	8805
GO:0070577	lysine-acetylated histone binding	6046
GO:0070577	lysine-acetylated histone binding	138474
GO:0070577	lysine-acetylated histone binding	29117
GO:0070577	lysine-acetylated histone binding	23476
GO:0070577	lysine-acetylated histone binding	676
GO:0070577	lysine-acetylated histone binding	80764
GO:0070577	lysine-acetylated histone binding	23198
GO:0070577	lysine-acetylated histone binding	5977
GO:0070577	lysine-acetylated histone binding	8089
GO:0070577	lysine-acetylated histone binding	10498
GO:0070577	lysine-acetylated histone binding	26009
GO:0070577	lysine-acetylated histone binding	55023
GO:0070577	lysine-acetylated histone binding	23140
GO:0070576	vitamin D 24-hydroxylase activity	1543
GO:0070576	vitamin D 24-hydroxylase activity	1576
GO:0050137	NADPH peroxidase activity	7296
GO:0050136	NADH:ubiquinone reductase (non-electrogenic) activity	1728
GO:0070573	metallodipeptidase activity	4224
GO:0070573	metallodipeptidase activity	1636
GO:0070573	metallodipeptidase activity	1800
GO:0015164	glucuronoside transmembrane transporter activity	8714
GO:0019706	protein-cysteine S-palmitoyltransferase activity	51304
GO:0019706	protein-cysteine S-palmitoyltransferase activity	79844
GO:0019706	protein-cysteine S-palmitoyltransferase activity	84243
GO:0019706	protein-cysteine S-palmitoyltransferase activity	253832
GO:0019706	protein-cysteine S-palmitoyltransferase activity	158866
GO:0019706	protein-cysteine S-palmitoyltransferase activity	25921
GO:0019706	protein-cysteine S-palmitoyltransferase activity	55625
GO:0019706	protein-cysteine S-palmitoyltransferase activity	10652
GO:0019706	protein-cysteine S-palmitoyltransferase activity	51114
GO:0019706	protein-cysteine S-palmitoyltransferase activity	23390
GO:0019706	protein-cysteine S-palmitoyltransferase activity	2752
GO:0019706	protein-cysteine S-palmitoyltransferase activity	340481
GO:0019706	protein-cysteine S-palmitoyltransferase activity	84885
GO:0019706	protein-cysteine S-palmitoyltransferase activity	51201
GO:0015168	glycerol transmembrane transporter activity	359
GO:0015168	glycerol transmembrane transporter activity	358
GO:0001786	phosphatidylserine binding	114882
GO:0001786	phosphatidylserine binding	54843
GO:0001786	phosphatidylserine binding	114884
GO:0001786	phosphatidylserine binding	558
GO:0001786	phosphatidylserine binding	4311
GO:0001786	phosphatidylserine binding	91404
GO:0001786	phosphatidylserine binding	9362
GO:0001786	phosphatidylserine binding	575
GO:0001786	phosphatidylserine binding	3146
GO:0001786	phosphatidylserine binding	114879
GO:0001786	phosphatidylserine binding	950
GO:0001786	phosphatidylserine binding	8436
GO:0001786	phosphatidylserine binding	146722
GO:0001786	phosphatidylserine binding	7057
GO:0001786	phosphatidylserine binding	493829
GO:0001786	phosphatidylserine binding	55512
GO:0001786	phosphatidylserine binding	8904
GO:0001786	phosphatidylserine binding	55198
GO:0001786	phosphatidylserine binding	54209
GO:0001786	phosphatidylserine binding	57476
GO:0001786	phosphatidylserine binding	115548
GO:0001786	phosphatidylserine binding	79792
GO:0001786	phosphatidylserine binding	11314
GO:0001786	phosphatidylserine binding	8416
GO:0001786	phosphatidylserine binding	4139
GO:0001786	phosphatidylserine binding	26060
GO:0001786	phosphatidylserine binding	85477
GO:0001786	phosphatidylserine binding	949
GO:0001786	phosphatidylserine binding	84069
GO:0001786	phosphatidylserine binding	57158
GO:0032406	MutLbeta complex binding	254394
GO:0032406	MutLbeta complex binding	84515
GO:0032406	MutLbeta complex binding	4595
GO:0032405	MutLalpha complex binding	5111
GO:0032405	MutLalpha complex binding	7486
GO:0032405	MutLalpha complex binding	545
GO:0032405	MutLalpha complex binding	11277
GO:0032405	MutLalpha complex binding	4436
GO:0032405	MutLalpha complex binding	4595
GO:0032405	MutLalpha complex binding	2956
GO:0015138	fumarate transmembrane transporter activity	9058
GO:0042169	SH2 domain binding	59341
GO:0042169	SH2 domain binding	51701
GO:0042169	SH2 domain binding	3667
GO:0042169	SH2 domain binding	89790
GO:0042169	SH2 domain binding	55824
GO:0042169	SH2 domain binding	8878
GO:0042169	SH2 domain binding	10657
GO:0042169	SH2 domain binding	1605
GO:0042169	SH2 domain binding	8631
GO:0042169	SH2 domain binding	6504
GO:0042169	SH2 domain binding	10603
GO:0042169	SH2 domain binding	10859
GO:0042169	SH2 domain binding	7462
GO:0042169	SH2 domain binding	23636
GO:0042169	SH2 domain binding	29760
GO:0042169	SH2 domain binding	54900
GO:0042169	SH2 domain binding	285590
GO:0047408	alkenylglycerophosphocholine hydrolase activity	144110
GO:0047408	alkenylglycerophosphocholine hydrolase activity	255043
GO:0071933	Arp2/3 complex binding	123720
GO:0071933	Arp2/3 complex binding	51429
GO:0071933	Arp2/3 complex binding	10677
GO:0071933	Arp2/3 complex binding	57175
GO:0071933	Arp2/3 complex binding	9463
GO:0071933	Arp2/3 complex binding	10788
GO:0042162	telomeric DNA binding	23049
GO:0042162	telomeric DNA binding	65057
GO:0042162	telomeric DNA binding	65986
GO:0042162	telomeric DNA binding	7014
GO:0042162	telomeric DNA binding	7013
GO:0042162	telomeric DNA binding	4691
GO:0042162	telomeric DNA binding	23381
GO:0042162	telomeric DNA binding	25913
GO:0042162	telomeric DNA binding	80169
GO:0042162	telomeric DNA binding	65110
GO:0042162	telomeric DNA binding	3184
GO:0042162	telomeric DNA binding	26277
GO:0042162	telomeric DNA binding	100134934
GO:0042162	telomeric DNA binding	23028
GO:0042162	telomeric DNA binding	54386
GO:0042162	telomeric DNA binding	23293
GO:0042162	telomeric DNA binding	26019
GO:0042162	telomeric DNA binding	79991
GO:0042162	telomeric DNA binding	9887
GO:0042162	telomeric DNA binding	7520
GO:0042162	telomeric DNA binding	79618
GO:0042162	telomeric DNA binding	5976
GO:0072591	citrate-L-glutamate ligase activity	57494
GO:0042166	acetylcholine binding	1141
GO:0042166	acetylcholine binding	1131
GO:0042166	acetylcholine binding	1140
GO:0042166	acetylcholine binding	43
GO:0042166	acetylcholine binding	1134
GO:0015616	DNA translocase activity	84893
GO:0015616	DNA translocase activity	546
GO:0015616	DNA translocase activity	54821
GO:0038131	neuregulin receptor activity	65078
GO:0038131	neuregulin receptor activity	2066
GO:0038132	neuregulin binding	3690
GO:0038132	neuregulin binding	3655
GO:0038132	neuregulin binding	2065
GO:0038132	neuregulin binding	3685
GO:0038132	neuregulin binding	3691
GO:0051428	peptide hormone receptor binding	5741
GO:0051428	peptide hormone receptor binding	116
GO:0051428	peptide hormone receptor binding	5744
GO:0071424	rRNA (cytosine-N4-)-methyltransferase activity	196074
GO:0051424	corticotropin-releasing hormone binding	1393
GO:0000832	inositol hexakisphosphate 5-kinase activity	51447
GO:0000832	inositol hexakisphosphate 5-kinase activity	9677
GO:0000832	inositol hexakisphosphate 5-kinase activity	23262
GO:0033743	peptide-methionine (R)-S-oxide reductase activity	253827
GO:0033743	peptide-methionine (R)-S-oxide reductase activity	22921
GO:0033743	peptide-methionine (R)-S-oxide reductase activity	51734
GO:0016731	oxidoreductase activity, acting on iron-sulfur proteins as donors, NAD or NADP as acceptor	27158
GO:0120160	intraciliary transport particle A binding	7289
GO:0120160	intraciliary transport particle A binding	119710
GO:0120160	intraciliary transport particle A binding	7275
GO:0047086	ketosteroid monooxygenase activity	1645
GO:0047086	ketosteroid monooxygenase activity	8644
GO:0047086	ketosteroid monooxygenase activity	1646
GO:0071714	icosanoid transmembrane transporter activity	8714
GO:0016015	morphogen activity	26585
GO:0016015	morphogen activity	100532736
GO:0016019	peptidoglycan immune receptor activity	8993
GO:0016019	peptidoglycan immune receptor activity	114770
GO:0016019	peptidoglycan immune receptor activity	114771
GO:0030249	guanylate cyclase regulator activity	118142757
GO:0050163	oxaloacetate tautomerase activity	51011
GO:0050163	oxaloacetate tautomerase activity	81889
GO:0034986	iron chaperone activity	285381
GO:0034986	iron chaperone activity	2395
GO:0034986	iron chaperone activity	7018
GO:0061459	L-arginine transmembrane transporter activity	6582
GO:0061459	L-arginine transmembrane transporter activity	6542
GO:0061459	L-arginine transmembrane transporter activity	6541
GO:0061459	L-arginine transmembrane transporter activity	55244
GO:0061459	L-arginine transmembrane transporter activity	84889
GO:0061459	L-arginine transmembrane transporter activity	10166
GO:0061459	L-arginine transmembrane transporter activity	54896
GO:0061459	L-arginine transmembrane transporter activity	153129
GO:0061459	L-arginine transmembrane transporter activity	83884
GO:0061459	L-arginine transmembrane transporter activity	9056
GO:0061459	L-arginine transmembrane transporter activity	9057
GO:0016230	sphingomyelin phosphodiesterase activator activity	6810
GO:0042296	ISG15 transferase activity	7324
GO:0042296	ISG15 transferase activity	7325
GO:0042296	ISG15 transferase activity	51191
GO:0042296	ISG15 transferase activity	9246
GO:0033130	acetylcholine receptor binding	9378
GO:0033130	acetylcholine receptor binding	1742
GO:0033130	acetylcholine receptor binding	8000
GO:0033130	acetylcholine receptor binding	5913
GO:0030246	carbohydrate binding	64581
GO:0030246	carbohydrate binding	3958
GO:0030246	carbohydrate binding	50489
GO:0030246	carbohydrate binding	10960
GO:0030246	carbohydrate binding	7784
GO:0030246	carbohydrate binding	947
GO:0030246	carbohydrate binding	3965
GO:0030246	carbohydrate binding	50856
GO:0030246	carbohydrate binding	9761
GO:0030246	carbohydrate binding	3697
GO:0030246	carbohydrate binding	7957
GO:0030246	carbohydrate binding	3964
GO:0030246	carbohydrate binding	259
GO:0030246	carbohydrate binding	5764
GO:0030246	carbohydrate binding	50964
GO:0030246	carbohydrate binding	1297
GO:0042292	URM1 activating enzyme activity	27304
GO:0008962	phosphatidylglycerophosphatase activity	114971
GO:0008169	C-methyltransferase activity	27037
GO:0034236	protein kinase A catalytic subunit binding	6608
GO:0034236	protein kinase A catalytic subunit binding	6262
GO:0034236	protein kinase A catalytic subunit binding	9867
GO:0034237	protein kinase A regulatory subunit binding	10142
GO:0034237	protein kinase A regulatory subunit binding	6262
GO:0034237	protein kinase A regulatory subunit binding	9472
GO:0034237	protein kinase A regulatory subunit binding	10565
GO:0034237	protein kinase A regulatory subunit binding	10564
GO:0034237	protein kinase A regulatory subunit binding	9495
GO:0034237	protein kinase A regulatory subunit binding	9867
GO:0034235	GPI anchor binding	1800
GO:0034235	GPI anchor binding	1048
GO:0034235	GPI anchor binding	7070
GO:0034235	GPI anchor binding	65258
GO:0034235	GPI anchor binding	128869
GO:0034235	GPI anchor binding	8733
GO:0034584	piRNA binding	9271
GO:0034584	piRNA binding	143689
GO:0034584	piRNA binding	55124
GO:0034584	piRNA binding	400629
GO:0033919	glucan 1,3-alpha-glucosidase activity	23193
GO:0047066	phospholipid-hydroperoxide glutathione peroxidase activity	2879
GO:0047066	phospholipid-hydroperoxide glutathione peroxidase activity	2877
GO:0047066	phospholipid-hydroperoxide glutathione peroxidase activity	1356
GO:0047066	phospholipid-hydroperoxide glutathione peroxidase activity	2876
GO:0051736	ATP-dependent polyribonucleotide 5'-hydroxyl-kinase activity	10978
GO:0141090	protein serine pyrophosphorylase activity	6675
GO:0019871	sodium channel inhibitor activity	23327
GO:0019871	sodium channel inhibitor activity	255738
GO:0019871	sodium channel inhibitor activity	4734
GO:0019871	sodium channel inhibitor activity	150684
GO:0019871	sodium channel inhibitor activity	6248
GO:0019871	sodium channel inhibitor activity	6324
GO:0019871	sodium channel inhibitor activity	817
GO:0019870	potassium channel inhibitor activity	23327
GO:0019870	potassium channel inhibitor activity	23704
GO:0019870	potassium channel inhibitor activity	859
GO:0019870	potassium channel inhibitor activity	2029
GO:0010698	acetyltransferase activator activity	9141
GO:0010698	acetyltransferase activator activity	7862
GO:0010698	acetyltransferase activator activity	26471
GO:0030215	semaphorin receptor binding	10507
GO:0035727	lysophosphatidic acid binding	54982
GO:0035727	lysophosphatidic acid binding	1200
GO:0035727	lysophosphatidic acid binding	5538
GO:0035727	lysophosphatidic acid binding	1902
GO:0035727	lysophosphatidic acid binding	7429
GO:1990276	RNA 5'-gamma-phosphate methyltransferase activity	56257
GO:0004366	glycerol-3-phosphate O-acyltransferase activity	57678
GO:0004366	glycerol-3-phosphate O-acyltransferase activity	137964
GO:0004366	glycerol-3-phosphate O-acyltransferase activity	84803
GO:0070016	armadillo repeat domain binding	8312
GO:0106229	histone glutaryltransferase activity	2648
GO:0017056	structural constituent of nuclear pore	4928
GO:0017056	structural constituent of nuclear pore	57122
GO:0017056	structural constituent of nuclear pore	55706
GO:0017056	structural constituent of nuclear pore	7175
GO:0017056	structural constituent of nuclear pore	9688
GO:0017056	structural constituent of nuclear pore	23165
GO:0017056	structural constituent of nuclear pore	9972
GO:0017056	structural constituent of nuclear pore	23279
GO:0017056	structural constituent of nuclear pore	55746
GO:1990254	keratin filament binding	286077
GO:0017050	D-erythro-sphingosine kinase activity	56848
GO:0017050	D-erythro-sphingosine kinase activity	8877
GO:0042625	ATPase-coupled ion transmembrane transporter activity	8992
GO:0042625	ATPase-coupled ion transmembrane transporter activity	155066
GO:0106222	lncRNA binding	1788
GO:0106222	lncRNA binding	155435
GO:0106222	lncRNA binding	6774
GO:0106222	lncRNA binding	5094
GO:0106222	lncRNA binding	8019
GO:0001164	RNA polymerase I core promoter sequence-specific DNA binding	54700
GO:0001164	RNA polymerase I core promoter sequence-specific DNA binding	11176
GO:0001164	RNA polymerase I core promoter sequence-specific DNA binding	6597
GO:0001164	RNA polymerase I core promoter sequence-specific DNA binding	6598
GO:0001164	RNA polymerase I core promoter sequence-specific DNA binding	9014
GO:0001164	RNA polymerase I core promoter sequence-specific DNA binding	7343
GO:0001164	RNA polymerase I core promoter sequence-specific DNA binding	9013
GO:0001164	RNA polymerase I core promoter sequence-specific DNA binding	6908
GO:0046623	sphingolipid floppase activity	19
GO:0030023	extracellular matrix constituent conferring elasticity	2199
GO:0030023	extracellular matrix constituent conferring elasticity	90187
GO:0001163	RNA polymerase I transcription regulatory region sequence-specific DNA binding	1050
GO:0030021	extracellular matrix structural constituent conferring compression resistance	4060
GO:0030021	extracellular matrix structural constituent conferring compression resistance	5549
GO:0030021	extracellular matrix structural constituent conferring compression resistance	1634
GO:0030021	extracellular matrix structural constituent conferring compression resistance	633
GO:0030021	extracellular matrix structural constituent conferring compression resistance	1462
GO:0030020	extracellular matrix structural constituent conferring tensile strength	256076
GO:0030020	extracellular matrix structural constituent conferring tensile strength	1284
GO:0030020	extracellular matrix structural constituent conferring tensile strength	1306
GO:0030020	extracellular matrix structural constituent conferring tensile strength	1282
GO:0030020	extracellular matrix structural constituent conferring tensile strength	7373
GO:0030020	extracellular matrix structural constituent conferring tensile strength	1277
GO:0030020	extracellular matrix structural constituent conferring tensile strength	1292
GO:0030020	extracellular matrix structural constituent conferring tensile strength	1293
GO:0030020	extracellular matrix structural constituent conferring tensile strength	1291
GO:0030020	extracellular matrix structural constituent conferring tensile strength	1294
GO:0034056	estrogen response element binding	8805
GO:0034056	estrogen response element binding	2100
GO:0034056	estrogen response element binding	2099
GO:0086078	gap junction channel activity involved in bundle of His cell-Purkinje myocyte electrical coupling	2702
GO:0035299	inositol-1,3,4,5,6-pentakisphosphate 2-kinase activity	64768
GO:0042586	peptide deformylase activity	64146
GO:0086075	gap junction channel activity involved in cardiac conduction electrical coupling	2702
GO:0099589	serotonin receptor activity	3360
GO:0099589	serotonin receptor activity	3361
GO:0099589	serotonin receptor activity	3354
GO:0099589	serotonin receptor activity	3357
GO:0099589	serotonin receptor activity	3356
GO:0099589	serotonin receptor activity	3351
GO:0099589	serotonin receptor activity	3350
GO:0099589	serotonin receptor activity	3358
GO:0086077	gap junction channel activity involved in AV node cell-bundle of His cell electrical coupling	10052
GO:0086077	gap junction channel activity involved in AV node cell-bundle of His cell electrical coupling	2702
GO:0086076	gap junction channel activity involved in atrial cardiac muscle cell-AV node cell electrical coupling	2702
GO:0002153	steroid receptor RNA activator RNA binding	80324
GO:0002153	steroid receptor RNA activator RNA binding	10011
GO:0042287	MHC protein binding	55016
GO:0002151	G-quadruplex RNA binding	2332
GO:0002151	G-quadruplex RNA binding	79727
GO:0002151	G-quadruplex RNA binding	2334
GO:0002151	G-quadruplex RNA binding	170506
GO:0002151	G-quadruplex RNA binding	54464
GO:0002151	G-quadruplex RNA binding	10445
GO:0140823	histone H2BS36 kinase activity	5562
GO:0140823	histone H2BS36 kinase activity	5563
GO:0140822	NAD+-histone H2BE35 glutamate ADP-ribosyltransferase activity	142
GO:0051880	G-quadruplex DNA binding	4831
GO:0051880	G-quadruplex DNA binding	170506
GO:0051880	G-quadruplex DNA binding	54464
GO:0051880	G-quadruplex DNA binding	9361
GO:0051880	G-quadruplex DNA binding	641
GO:0051880	G-quadruplex DNA binding	7486
GO:0051880	G-quadruplex DNA binding	1663
GO:0051880	G-quadruplex DNA binding	7555
GO:0031995	insulin-like growth factor II binding	3489
GO:0031995	insulin-like growth factor II binding	3485
GO:0031995	insulin-like growth factor II binding	3484
GO:0004028	3-chloroallyl aldehyde dehydrogenase activity	8854
GO:0043199	sulfate binding	4089
GO:0043199	sulfate binding	1104
GO:0043199	sulfate binding	6818
GO:0008967	phosphoglycolate phosphatase activity	54840
GO:0008967	phosphoglycolate phosphatase activity	283871
GO:0160185	phospholipase C activator activity	5159
GO:0160185	phospholipase C activator activity	3265
GO:0160185	phospholipase C activator activity	5156
GO:0033829	O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase activity	4242
GO:0035613	RNA stem-loop binding	2332
GO:0035613	RNA stem-loop binding	7812
GO:0035613	RNA stem-loop binding	80149
GO:0035613	RNA stem-loop binding	2058
GO:0035613	RNA stem-loop binding	54606
GO:0035613	RNA stem-loop binding	54542
GO:0035613	RNA stem-loop binding	55323
GO:0035613	RNA stem-loop binding	4628
GO:0035613	RNA stem-loop binding	149041
GO:0035613	RNA stem-loop binding	79066
GO:0035613	RNA stem-loop binding	1654
GO:0035613	RNA stem-loop binding	1660
GO:0035612	AP-2 adaptor complex binding	22848
GO:0035612	AP-2 adaptor complex binding	10981
GO:0035612	AP-2 adaptor complex binding	23682
GO:0035612	AP-2 adaptor complex binding	9779
GO:0035612	AP-2 adaptor complex binding	23149
GO:0035612	AP-2 adaptor complex binding	55788
GO:0035612	AP-2 adaptor complex binding	26119
GO:0008897	holo-[acyl-carrier-protein] synthase activity	60496
GO:0035615	clathrin adaptor activity	1601
GO:0035615	clathrin adaptor activity	26119
GO:0034039	8-oxo-7,8-dihydroguanine DNA N-glycosylase activity	4968
GO:0036402	proteasome-activating activity	5705
GO:0036402	proteasome-activating activity	5701
GO:0036402	proteasome-activating activity	5702
GO:0015647	peptidoglycan transmembrane transporter activity	51296
GO:0015647	peptidoglycan transmembrane transporter activity	121260
GO:0031755	Edg-2 lysophosphatidic acid receptor binding	5898
GO:0031755	Edg-2 lysophosphatidic acid receptor binding	156
GO:0048403	brain-derived neurotrophic factor binding	4915
GO:0048403	brain-derived neurotrophic factor binding	9001
GO:0036408	histone H3K14 acetyltransferase activity	23522
GO:0036408	histone H3K14 acetyltransferase activity	11143
GO:0036408	histone H3K14 acetyltransferase activity	79960
GO:0036408	histone H3K14 acetyltransferase activity	64769
GO:0036408	histone H3K14 acetyltransferase activity	23338
GO:0036408	histone H3K14 acetyltransferase activity	23774
GO:0036408	histone H3K14 acetyltransferase activity	27154
GO:0036408	histone H3K14 acetyltransferase activity	51147
GO:0035473	lipase binding	23197
GO:0035472	choriogonadotropin hormone receptor activity	3973
GO:0140926	L-kynurenine transmembrane transporter activity	23657
GO:0042134	rRNA primary transcript binding	284119
GO:0035478	chylomicron binding	338328
GO:0140226	RNA topoisomerase activity	8940
GO:0106310	protein serine kinase activity	1859
GO:0106310	protein serine kinase activity	5593
GO:0106310	protein serine kinase activity	5347
GO:0106310	protein serine kinase activity	84630
GO:0106310	protein serine kinase activity	5580
GO:0106310	protein serine kinase activity	5587
GO:0106310	protein serine kinase activity	5294
GO:0106310	protein serine kinase activity	65018
GO:0106310	protein serine kinase activity	2932
GO:0106310	protein serine kinase activity	5291
GO:0106310	protein serine kinase activity	1453
GO:0106310	protein serine kinase activity	23235
GO:0106310	protein serine kinase activity	5566
GO:0106310	protein serine kinase activity	25865
GO:0120053	ribitol beta-1,4-xylosyltransferase activity	10329
GO:0005078	MAP-kinase scaffold activity	142679
GO:0005078	MAP-kinase scaffold activity	5605
GO:0005078	MAP-kinase scaffold activity	5604
GO:0005078	MAP-kinase scaffold activity	23162
GO:0005078	MAP-kinase scaffold activity	11214
GO:0005078	MAP-kinase scaffold activity	23542
GO:0005078	MAP-kinase scaffold activity	8844
GO:0005078	MAP-kinase scaffold activity	57630
GO:0140893	neutral amino acid, sodium:proton antiporter activity	92745
GO:0004303	estradiol 17-beta-dehydrogenase [NAD(P)+] activity	7923
GO:0004303	estradiol 17-beta-dehydrogenase [NAD(P)+] activity	51171
GO:0004303	estradiol 17-beta-dehydrogenase [NAD(P)+] activity	51170
GO:0004303	estradiol 17-beta-dehydrogenase [NAD(P)+] activity	3295
GO:0004303	estradiol 17-beta-dehydrogenase [NAD(P)+] activity	51478
GO:0004303	estradiol 17-beta-dehydrogenase [NAD(P)+] activity	441282
GO:0004303	estradiol 17-beta-dehydrogenase [NAD(P)+] activity	3292
GO:0004303	estradiol 17-beta-dehydrogenase [NAD(P)+] activity	79154
GO:0034590	L-hydroxyproline transmembrane transporter activity	6509
GO:0097472	cyclin-dependent protein kinase activity	983
GO:0097472	cyclin-dependent protein kinase activity	1017
GO:0051959	dynein light intermediate chain binding	9727
GO:0019135	deoxyhypusine monooxygenase activity	83475
GO:0140030	modification-dependent protein binding	4300
GO:0140030	modification-dependent protein binding	55689
GO:0140030	modification-dependent protein binding	8089
GO:0047946	glutamine N-acyltransferase activity	92292
GO:0005092	GDP-dissociation inhibitor activity	9270
GO:0005092	GDP-dissociation inhibitor activity	55704
GO:0005092	GDP-dissociation inhibitor activity	23677
GO:0005092	GDP-dissociation inhibitor activity	26086
GO:0005092	GDP-dissociation inhibitor activity	29899
GO:0005092	GDP-dissociation inhibitor activity	5902
GO:0005092	GDP-dissociation inhibitor activity	2664
GO:0005092	GDP-dissociation inhibitor activity	58157
GO:0005092	GDP-dissociation inhibitor activity	10636
GO:0005093	Rab GDP-dissociation inhibitor activity	2664
GO:0005096	GTPase activator activity	7813
GO:0005096	GTPase activator activity	64786
GO:0005096	GTPase activator activity	55616
GO:0005096	GTPase activator activity	85397
GO:0005096	GTPase activator activity	201176
GO:0005096	GTPase activator activity	22930
GO:0005096	GTPase activator activity	3725
GO:0005096	GTPase activator activity	23616
GO:0005096	GTPase activator activity	255520
GO:0005096	GTPase activator activity	6004
GO:0005096	GTPase activator activity	6000
GO:0005096	GTPase activator activity	6001
GO:0005096	GTPase activator activity	29
GO:0005096	GTPase activator activity	140775
GO:0005096	GTPase activator activity	57148
GO:0005096	GTPase activator activity	5905
GO:0005096	GTPase activator activity	3996
GO:0005096	GTPase activator activity	5909
GO:0005096	GTPase activator activity	408
GO:0005096	GTPase activator activity	29127
GO:0005096	GTPase activator activity	55531
GO:0005096	GTPase activator activity	9824
GO:0005096	GTPase activator activity	5997
GO:0005096	GTPase activator activity	5996
GO:0005096	GTPase activator activity	10681
GO:0005096	GTPase activator activity	203228
GO:0005096	GTPase activator activity	84144
GO:0005096	GTPase activator activity	9905
GO:0005096	GTPase activator activity	26000
GO:0005096	GTPase activator activity	5159
GO:0005096	GTPase activator activity	23779
GO:0005096	GTPase activator activity	55738
GO:0005096	GTPase activator activity	51291
GO:0005096	GTPase activator activity	2909
GO:0005096	GTPase activator activity	1124
GO:0005096	GTPase activator activity	2776
GO:0005096	GTPase activator activity	253959
GO:0005096	GTPase activator activity	392
GO:0005096	GTPase activator activity	6904
GO:0005096	GTPase activator activity	4650
GO:0005096	GTPase activator activity	125058
GO:0005096	GTPase activator activity	9712
GO:0005096	GTPase activator activity	201163
GO:0005096	GTPase activator activity	10435
GO:0005096	GTPase activator activity	9910
GO:0005096	GTPase activator activity	9912
GO:0005096	GTPase activator activity	11033
GO:0005096	GTPase activator activity	7249
GO:0005096	GTPase activator activity	120892
GO:0005096	GTPase activator activity	55255
GO:0005096	GTPase activator activity	57186
GO:0005096	GTPase activator activity	55357
GO:0005096	GTPase activator activity	23380
GO:0005096	GTPase activator activity	4952
GO:0005096	GTPase activator activity	10636
GO:0005096	GTPase activator activity	577
GO:0005096	GTPase activator activity	23329
GO:0005096	GTPase activator activity	93663
GO:0005096	GTPase activator activity	25780
GO:0005096	GTPase activator activity	129049
GO:0005096	GTPase activator activity	4943
GO:0005096	GTPase activator activity	57679
GO:0005096	GTPase activator activity	116986
GO:0005096	GTPase activator activity	64333
GO:0005096	GTPase activator activity	8829
GO:0005096	GTPase activator activity	10156
GO:0005096	GTPase activator activity	23527
GO:0005096	GTPase activator activity	10641
GO:0005096	GTPase activator activity	3071
GO:0005096	GTPase activator activity	9628
GO:0005096	GTPase activator activity	10395
GO:0005096	GTPase activator activity	10565
GO:0005096	GTPase activator activity	51520
GO:0005096	GTPase activator activity	26286
GO:0005096	GTPase activator activity	116985
GO:0005096	GTPase activator activity	23236
GO:0005096	GTPase activator activity	128637
GO:0005096	GTPase activator activity	10928
GO:0005096	GTPase activator activity	6494
GO:0005096	GTPase activator activity	23108
GO:0005096	GTPase activator activity	64411
GO:0005096	GTPase activator activity	4763
GO:0005096	GTPase activator activity	1894
GO:0005096	GTPase activator activity	23637
GO:0005096	GTPase activator activity	7070
GO:0005096	GTPase activator activity	6102
GO:0005096	GTPase activator activity	5921
GO:0005096	GTPase activator activity	80243
GO:0005096	GTPase activator activity	85360
GO:0005096	GTPase activator activity	115704
GO:0005096	GTPase activator activity	84173
GO:0005096	GTPase activator activity	55843
GO:0005096	GTPase activator activity	161514
GO:0005096	GTPase activator activity	613
GO:0005096	GTPase activator activity	107080638
GO:0005096	GTPase activator activity	3357
GO:0005096	GTPase activator activity	192111
GO:0005096	GTPase activator activity	55160
GO:0005096	GTPase activator activity	92154
GO:0005096	GTPase activator activity	27352
GO:0005096	GTPase activator activity	9693
GO:0005094	Rho GDP-dissociation inhibitor activity	397
GO:0005095	GTPase inhibitor activity	9353
GO:0005095	GTPase inhibitor activity	5147
GO:0005095	GTPase inhibitor activity	6242
GO:0005095	GTPase inhibitor activity	132864
GO:0005250	A-type (transient outward) potassium channel activity	3751
GO:0005250	A-type (transient outward) potassium channel activity	3750
GO:0005250	A-type (transient outward) potassium channel activity	3752
GO:0005250	A-type (transient outward) potassium channel activity	30819
GO:0004788	thiamine diphosphokinase activity	27010
GO:0045029	G protein-coupled UDP receptor activity	5031
GO:0004308	exo-alpha-sialidase activity	4758
GO:0004308	exo-alpha-sialidase activity	4759
GO:0004308	exo-alpha-sialidase activity	129807
GO:0045027	DNA end binding	7520
GO:0045027	DNA end binding	2547
GO:0045027	DNA end binding	79840
GO:0004784	superoxide dismutase activity	6647
